Experiment,Sample,Trial,ID,ud,theta,spl,spr,lfwd,rfwd
P90_I0-20_D0_A1_0-73_with_paper,0,1,L,0,-0.01,0,0,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,1,1,L,0,-0.02,0.07,0.09,0.28,0.31
P90_I0-20_D0_A1_0-73_with_paper,2,1,L,0,0,0.04,0.06,0.27,0.31
P90_I0-20_D0_A1_0-73_with_paper,3,1,L,0,0,0.03,0.04,0.26,0.32
P90_I0-20_D0_A1_0-73_with_paper,4,1,L,-2.2,-0.04,0.04,0.08,0.17,0.26
P90_I0-20_D0_A1_0-73_with_paper,5,1,L,-2.47,-0.06,0.11,0.17,0.18,0.26
P90_I0-20_D0_A1_0-73_with_paper,6,1,L,-2.47,-0.01,0.26,0.34,0.19,0.25
P90_I0-20_D0_A1_0-73_with_paper,7,1,L,-2.47,-0.03,0.34,0.44,0.24,0.2
P90_I0-20_D0_A1_0-73_with_paper,8,1,L,-2.47,0.04,0.28,0.26,0.23,0.21
P90_I0-20_D0_A1_0-73_with_paper,9,1,L,-2.47,-0.01,0.2,0.21,0.23,0.2
P90_I0-20_D0_A1_0-73_with_paper,10,1,L,-2.47,0.02,0.23,0.21,0.24,0.2
P90_I0-20_D0_A1_0-73_with_paper,11,1,L,-2.47,0.02,0.29,0.27,0.24,0.2
P90_I0-20_D0_A1_0-73_with_paper,12,1,L,-2.47,0,0.32,0.28,0.25,0.18
P90_I0-20_D0_A1_0-73_with_paper,13,1,L,-2.47,0.02,0.31,0.24,0.23,0.21
P90_I0-20_D0_A1_0-73_with_paper,14,1,L,-2.47,-0.04,0.25,0.26,0.25,0.19
P90_I0-20_D0_A1_0-73_with_paper,15,1,L,-2.47,0.02,0.26,0.24,0.24,0.2
P90_I0-20_D0_A1_0-73_with_paper,16,1,L,-2.47,0.05,0.3,0.23,0.21,0.23
P90_I0-20_D0_A1_0-73_with_paper,17,1,L,-2.47,0.02,0.3,0.28,0.2,0.23
P90_I0-20_D0_A1_0-73_with_paper,18,1,L,-2.47,-0.03,0.26,0.28,0.23,0.21
P90_I0-20_D0_A1_0-73_with_paper,19,1,L,-2.47,0.03,0.28,0.23,0.2,0.24
P90_I0-20_D0_A1_0-73_with_paper,20,1,L,-2.47,-0.02,0.25,0.28,0.21,0.23
P90_I0-20_D0_A1_0-73_with_paper,21,1,L,0,0.02,0.2,0.2,0.28,0.3
P90_I0-20_D0_A1_0-73_with_paper,22,1,L,0,-0.01,0.22,0.23,0.29,0.3
P90_I0-20_D0_A1_0-73_with_paper,23,1,L,0,-0.03,0.27,0.28,0.3,0.29
P90_I0-20_D0_A1_0-73_with_paper,24,1,L,0,0.02,0.31,0.28,0.28,0.3
P90_I0-20_D0_A1_0-73_with_paper,25,1,L,0,-0.01,0.31,0.31,0.29,0.3
P90_I0-20_D0_A1_0-73_with_paper,26,1,L,0,0,0.31,0.31,0.29,0.3
P90_I0-20_D0_A1_0-73_with_paper,27,1,L,0,-0.03,0.27,0.29,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,28,1,L,0,0.02,0.31,0.3,0.28,0.3
P90_I0-20_D0_A1_0-73_with_paper,29,1,L,0,-0.02,0.26,0.29,0.3,0.29
P90_I0-20_D0_A1_0-73_with_paper,30,1,L,0,0,0.27,0.28,0.3,0.29
P90_I0-20_D0_A1_0-73_with_paper,31,1,L,0,0.03,0.3,0.29,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,32,1,L,0,0.01,0.31,0.3,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,33,1,L,0,-0.02,0.31,0.31,0.3,0.28
P90_I0-20_D0_A1_0-73_with_paper,34,1,L,0,-0.01,0.29,0.28,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,35,1,L,0,0,0.27,0.28,0.29,0.3
P90_I0-20_D0_A1_0-73_with_paper,36,1,L,0,0.02,0.24,0.25,0.29,0.3
P90_I0-20_D0_A1_0-73_with_paper,37,1,L,0,0.01,0.25,0.27,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,38,1,L,0,0,0.31,0.32,0.29,0.29
P90_I0-20_D0_A1_0-73_with_paper,39,1,L,0,0.02,0.32,0.31,0.28,0.3
P90_I0-20_D0_A1_0-73_with_paper,40,1,L,0,-0.02,0.3,0.32,0.28,0.3
P90_I0-20_D0_A1_0-73_with_paper,41,1,L,0,0.01,0.3,0.3,0.28,0.31
P90_I0-20_D0_A1_0-73_with_paper,42,1,L,0,-0.02,0.29,0.31,0.29,0.3
